!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :           spec14.dat                    !
!          t-matrix file    :           tl2_Ni.dat                    !
!          rad integral file:          rad2_Ni.dat                    !
!          cluster file     :             clus.out                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PED        algorithm : MI          !
!          inner potential  :     10.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: SELRULE = 10000 !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:   -55.00  PHI_LUM:     0.00  E_LUM:  1253.60 eV !
!                                                                     !
!          outgoing beam 1  :                                         !
!          THETA_INI:   -10.00      THETA_FIN:    70.00               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :  1208.00 eV   E_FIN    :  1208.00 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PED           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1    81     1    4  0
   -1   41.00    0.00   1208.00  0.000000E+00  0.413596E+00
    1   42.00    0.00   1208.00  0.000000E+00  0.385763E+00
    2   42.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   42.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   42.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   42.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   42.00    0.00   1208.00  0.000000E+00  0.385763E+00
    1   43.00    0.00   1208.00  0.000000E+00  0.353523E+00
    2   43.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   43.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   43.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   43.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   43.00    0.00   1208.00  0.000000E+00  0.353523E+00
    1   44.00    0.00   1208.00  0.000000E+00  0.319684E+00
    2   44.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   44.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   44.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   44.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   44.00    0.00   1208.00  0.000000E+00  0.319684E+00
    1   45.00    0.00   1208.00  0.000000E+00  0.287387E+00
    2   45.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   45.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   45.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   45.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   45.00    0.00   1208.00  0.000000E+00  0.287387E+00
    1   46.00    0.00   1208.00  0.000000E+00  0.259564E+00
    2   46.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   46.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   46.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   46.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   46.00    0.00   1208.00  0.000000E+00  0.259564E+00
    1   47.00    0.00   1208.00  0.000000E+00  0.238418E+00
    2   47.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   47.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   47.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   47.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   47.00    0.00   1208.00  0.000000E+00  0.238418E+00
    1   48.00    0.00   1208.00  0.000000E+00  0.225047E+00
    2   48.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   48.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   48.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   48.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   48.00    0.00   1208.00  0.000000E+00  0.225047E+00
    1   49.00    0.00   1208.00  0.000000E+00  0.219292E+00
    2   49.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   49.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   49.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   49.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   49.00    0.00   1208.00  0.000000E+00  0.219292E+00
    1   50.00    0.00   1208.00  0.000000E+00  0.219869E+00
    2   50.00    0.00   1208.00  0.000000E+00  0.000000E+00
